scenario,repeat_id,n,events,symbol,tcga_log_hr,log_hr,hr,p_value,same_tcga_direction
size_matched_39,231,39,9,TNIP1,-0.414945866298316,-0.0463209967767866,0.9547354459971424,0.9030449418108515,TRUE
size_matched_39,231,39,9,TCIRG1,0.4257531411377312,0.14857842122922785,1.1601837772449612,0.6719424816124913,TRUE
size_matched_39,231,39,9,LTB4R,0.4152348937982004,0.12100303304286901,1.1286283355402775,0.7435405850039566,TRUE
size_matched_39,231,39,9,LRBA,-0.42337150345977026,-0.6505517241204904,0.5217578309546045,0.04179376025994252,TRUE
size_matched_39,231,39,9,GRAMD1A,0.4057580580941821,0.1617974285133502,1.1756220696880282,0.6218528959382241,TRUE
size_matched_39,231,39,9,IFFO1,0.4086497996244981,0.022131919043397365,1.0223786467878628,0.9493103038923967,TRUE
size_matched_39,231,39,9,TNFAIP2,0.42728551519013547,-0.027600014662219133,0.9727773856863347,0.9421543811967488,FALSE
full_cohort,232,73,16,CYFIP2,-0.4403276873957715,-0.06372786403647482,0.9382602991615981,0.8053376018599825,TRUE
full_cohort,232,73,16,CRYL1,-0.4562451822719112,-0.1623326926239586,0.8501583160844326,0.5250719931674825,TRUE
full_cohort,232,73,16,HHLA2,-0.46651200190082415,-0.4089161204471084,0.6643699570400531,0.11570951121833765,TRUE
full_cohort,232,73,16,DDC,-0.4170476451847731,-0.04828279822765912,0.9528642806415646,0.8527197678933922,TRUE
full_cohort,232,73,16,KL,-0.4143562134600067,0.0807133522786107,1.0840601086655686,0.7589455317761998,FALSE
full_cohort,232,73,16,RBM47,-0.406043543125073,-0.20706017484192424,0.812970728130599,0.4465948812774899,TRUE
full_cohort,232,73,16,PANK1,-0.4732407037257613,0.27289066210037943,1.3137565935850646,0.30198818806155087,FALSE
full_cohort,232,73,16,GJB1,-0.4272749730657404,0.06092132570142808,1.0628152946500662,0.8205307936252452,FALSE
full_cohort,232,73,16,ACADM,-0.4484141243283115,-0.6080101277072862,0.5444331443517727,0.020400005022469376,TRUE
full_cohort,232,73,16,CLCN5,-0.4176541545204886,0.29644549636396517,1.3450692468346817,0.2516076358016409,FALSE
full_cohort,232,73,16,TMEM140,-0.4073424327415841,-0.16837345335332926,0.8450381934026621,0.5091551657746064,TRUE
full_cohort,232,73,16,C1QTNF6,0.43509983532112984,0.45168607164916474,1.5709587026850007,0.10336912989400562,TRUE
full_cohort,232,73,16,CADPS2,-0.41010601450174866,-0.2190337036300012,0.8032946437519213,0.3462077830672399,TRUE
full_cohort,232,73,16,KNTC1,0.41317926152804135,0.5477124367077678,1.7292926234410713,0.028127347673036242,TRUE
