accession,symbol,log2FoldChange,AveExpr,t,pvalue,padj,B,significant
GSE40435,NNMT,3.5171445522376312,9.611278183712871,29.208313822742422,3.0684059695922674e-51,7.224365754271599e-49,106.47497922663531,TRUE
GSE40435,ITGA5,1.8273446744455466,8.533568510707921,29.19722772239851,3.176146727124208e-51,7.422228254713989e-49,106.44054976403424,TRUE
GSE40435,PROC,-1.5092452024554461,7.5907408125643565,-29.111622419427924,4.147488581073771e-51,9.620330179832894e-49,106.17433482469627,TRUE
GSE40435,RALGPS1,-1.2028478257821795,7.87268978580198,-29.09743807956009,4.3352345912340814e-51,9.981877646316473e-49,106.13016354755598,TRUE
GSE40435,AMT,-1.335541749257426,9.213527894618812,-28.966701311085796,6.524986511641113e-51,1.4914118804783198e-48,105.72222000706078,TRUE
GSE40435,DDN,-1.7344832567722774,7.641814481386139,-28.881373455576203,8.527315782430937e-51,1.9349591768916113e-48,105.45516938028763,TRUE
GSE40435,SFXN2,-1.9951006324950522,8.12824559280198,-28.81416083271092,1.0533160257848762e-50,2.372916405138677e-48,105.24436812096052,TRUE
GSE40435,FBP1,-3.160721180346537,10.678113777440593,-28.80785975976258,1.0744058534795176e-50,2.4031389211326868e-48,105.22458565721188,TRUE
GSE40435,CTSH,-1.517105540752477,10.619950439435643,-28.7497053145438,1.2903256542977731e-50,2.8656211020340755e-48,105.0418438011812,TRUE
GSE40435,LDHA,1.1690197656369632,11.098475926333334,28.729725957957193,1.3742059695816566e-50,3.0217912369389175e-48,104.9789933245637,TRUE
GSE40435,PIPOX,-2.838024383900991,8.508425214722772,-28.728360407413195,1.3801359393928758e-50,3.0217912369389175e-48,104.97469633943372,TRUE
GSE40435,SCAP,-0.7649776991386144,10.0059874995,-28.726194264838647,1.3895955103762025e-50,3.0217912369389175e-48,104.96787979207647,FALSE
GSE40435,TJP3,-1.2670185292277234,7.442713182366337,-28.723143362858206,1.4030298676949296e-50,3.0299639501378636e-48,104.9582783336111,TRUE
GSE40435,VIM,2.12039253308911,12.743619691643564,28.69286437625617,1.543674935452712e-50,3.3108655430661794e-48,104.86294345804477,TRUE
GSE40435,SLC13A3,-1.282744477808582,7.391295685455446,-28.62843663273112,1.8921270657807454e-50,4.030616798493759e-48,104.65982176595067,TRUE
GSE40435,GHITM,-1.0691342331683182,12.314081412722773,-28.60051287958039,2.066854139700318e-50,4.373072333147011e-48,104.57167302361782,TRUE
GSE40435,LOC653381,-1.3871263701881198,9.118336673925743,-28.587368196648363,2.1546519543888044e-50,4.528239684545706e-48,104.53015457092047,TRUE
GSE40435,PDHB,-1.0185520513168322,11.122399920480198,-28.5574506829573,2.368769487651661e-50,4.9450431824216074e-48,104.43560110530134,TRUE
