draw,delta_c
868,0.002786724548382591
869,0.013145154242768497
870,0.008466421155874659
871,-0.0018072740907386308
872,0.0022952007501492178
873,-0.0027531975014872035
874,0.007745092728027869
875,0.013299982749698114
876,0.0036143697693966303
877,-0.0016967312454990835
878,-0.006202563042579578
879,0.0064414289670451375
880,0.006375677969228455
881,0.004780323316473267
882,0.0034568960692498594
883,0.008075346646899762
884,0.004401033318876946
885,0.0015138056810235835
886,6.950967499530058e-4
887,0.004513383145748617
888,-0.0014402831743190125
889,-0.004656334231805925
890,-7.009702803881135e-4
891,-0.017763489443044556
892,-0.006404698160462896
893,0.018348066202393154
894,0.0012331859137870715
895,0.010545132943191027
896,-5.461711711711836e-4
897,-8.274041976497615e-4
898,0.005245976446636369
899,0.001653645580908425
900,5.885666556593617e-4
901,-5.600876658955256e-4
902,0.0032198618902006928
903,0.010750744547160374
904,7.849564392305774e-4
905,9.552343339623515e-4
906,0.008521586590001008
907,-0.008746965452847788
908,0.018575235752357533
909,0.011711001521623554
910,0.008220933129292863
911,-0.002542226321554197
912,-0.001552959654461561
913,0.00901793305257329
914,0.020181636726546916
915,0.01151617411459931
916,-1.0687767194178521e-4
917,-0.00796260307789276
918,-0.0017690336447052756
919,-0.016561702440188765
920,0.004978702122889633
921,0.010649087221095355
922,0.016304280107158432
923,-0.009600266983091054
924,0.006045571137031702
925,-0.006766531666165587
926,0.011680988184747564
927,-6.985725644617525e-4
928,-0.0061526636531668896
929,9.953524399690106e-4
930,0.0026580692108667424
931,0.014639082965183048
932,9.923378807699668e-4
933,0.009265338580429383
934,0.004686821144098496
935,0.004568222046473091
936,0.008900849087764973
937,-0.0019423953738369915
938,0.0034180482649896924
939,-2.8344239841729955e-4
940,-5.50376057662183e-4
941,0.009752945086598453
942,-0.0038450116171409587
943,0.01655009742590502
944,-0.004636476942251766
945,0.007798343256536366
946,0.005250228621635688
947,0.004444218102804365
948,0.014200981728933726
949,3.52858151023816e-5
950,0.007778746985478968
951,0.025500843309062514
952,9.020743822540367e-4
953,0.017143190376220484
954,-9.457921008845016e-4
955,0.010807245520771835
956,0.00840948862531593
957,0.0032567514604057157
958,0.00795349196538937
959,0.0010138842917617908
960,0.0036664434969519875
961,0.00693656400338839
962,0.01315816150680208
963,0.002585739143450527
964,-0.0044275377948587045
965,0.003068098094937366
966,-0.002947532826035637
967,0.006485017915501779
968,0.002205058762559153
969,0.001642289862363888
970,0.002437105150745322
971,0.008686237768061633
972,-0.00883574597451261
973,-0.005545407316787021
974,0.003181777738232938
975,0.010982196439287861
976,0.0033908035333987787
977,-1.2198048312271892e-4
978,0.0018546795277643246
979,0.014903378824993208
980,0.003005588543485871
981,0.00846666800168211
982,0.005078312930988394
983,0.0067014843320505665
984,0.007423766696822964
985,0.007565978065876344
986,2.1953694308646243e-4
987,0.0036724069638040422
988,3.168579151823114e-4
989,0.005305103671753542
990,4.1089136032433914e-4
991,-0.0031536494196340746
992,0.006545859337932047
993,-0.010830670349708438
994,0.005480756153950772
995,0.00797995507171242
996,0.008218158622156113
997,0.005749357693405665
998,0.0018386736214605292
999,0.007502348678029802
1000,0.0034307377587598385
